Year,State,Continuum of Care (CoC),HUD CoC Number,"2015 CoC Award Amount
($0 indicates that an application was not submitted)",AHAR Part 1 CoC Category,Total Non-DV Beds on 2016 HIC ES+TH,Total Non-DV HMIS Beds on 2016 HIC ES+TH,2015 Bed coverage Percent on HMIS for ES-TH Combined,ES-SH Avg (Days),ES-SH Median (Days),ES-SH-TH Avg (Days),ES-SH-TH Median (Days),Total Persons Exited (SO+ES+TH+SH+PH),Total Persons Returns in 6 mths,Total Persons Returns in 12 mths (should include the 6-month cohort),Total Persons Returns in 24 mths (should include both the 6- and 12-month cohort),Percent Returns in 6 mths,Percent Returns in 12 mths (should include the 6-month cohort),Percent Returns in 24 mths (should include both the 6- and 12-month cohort),Total HMIS Count,Total Stayers (persons),Total Stayers increased earned income,Percent Stayers increased earned income,Total Stayers increased non-employment cash income,Percent Stayers increased non-employment cash income,Total Stayers increased total income,Percent Stayers increased total income,Total Leavers (persons),Total Leavers increased earned income,Percent Leavers increased earned income,Total Leavers increased non-employment cash income,Percent Leavers increased non-employment cash income,Total Leavers increased total income,Percent Leavers increased total income,ES-SH-TH 1st Time Homeless,ES-SH-TH-PH 1st Time Homeless,Total Persons Exiting Street Outreach,Total Persons Exited to Temporary Housing,Total Persons Exited to Permanent Housing,Percent with Successful SO Outcome,"Total Persons Exiting ES, TH, SH, PH-RRH","Total Persons Exiting ES, TH, SH, PH-RRH to Permanent Housing",Percent with Successful Exit,Total Persons Exiting PH (but not including PH-RRH),Total Persons Exiting PH (but not including PH-RRH) Residing in PH for 6mos or more or exiting to Permanent Housing,Percent with Successful Retention or Exit,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,AK,Anchorage CoC,AK-500,2949710,"Smaller Cities, Counties, and Regional CoCs",943,734,0.778366914,35,16,55,21,680,119,150,193,0.175,0.220588235,0.283823529,4871,143,5,3.50E-02,46,0.321678322,47,0.328671329,107,15,0.140186916,17,0.158878505,28,0.261682243,2378,2551,89,0,1,1.12E-02,1492,828,0.554959786,439,395,0.89977221,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,AK,Alaska Balance of State CoC,AK-501,762763,Balance of State and Statewide CoCs,482,358,0.742738589,48,20,77,29,89,7,10,18,7.87E-02,0.112359551,0.202247191,1711,66,0,0,11,0.166666667,11,0.166666667,24,0,0,2,8.33E-02,2,8.33E-02,1038,1104,0,0,0,NA,683,209,0.306002928,171,152,0.888888889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,AL,"Birmingham/Jefferson, St. Clair, Shelby Counties CoC",AL-500,8997707,"Smaller Cities, Counties, and Regional CoCs",967,826,0.854188211,46,12,76,18,1100,165,227,307,0.15,0.206363636,0.279090909,4511,536,10,1.87E-02,16,2.99E-02,26,4.85E-02,333,60,0.18018018,71,0.213213213,122,0.366366366,2799,3302,675,220,68,0.426666667,4090,890,0.217603912,1529,1348,0.881621975,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,AL,Mobile City & County/Baldwin County CoC,AL-501,3953258,"Smaller Cities, Counties, and Regional CoCs",403,326,0.808933002,27,6,44,7,556,64,87,117,0.115107914,0.15647482,0.210431655,2396,150,8,5.33E-02,87,0.58,94,0.626666667,93,21,0.225806452,28,0.301075269,48,0.516129032,1748,1929,271,27,28,0.20295203,1727,217,0.125651419,213,202,0.948356808,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,AL,Huntsville/North Alabama CoC,AL-503,754922,"Smaller Cities, Counties, and Regional CoCs",477,152,0.318658281,91,22,93,23,76,9,10,12,0.118421053,0.131578947,0.157894737,533,52,0,0,0,0,0,0,28,2,7.14E-02,9,0.321428571,10,0.357142857,284,467,14,7,3,0.714285714,630,223,0.353968254,148,132,0.891891892,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,AL,Montgomery City & County CoC,AL-504,2112078,"Smaller Cities, Counties, and Regional CoCs",354,339,0.957627119,71,35,110,46,251,39,50,63,0.155378486,0.199203187,0.250996016,1040,61,0,0,0,0,0,0,26,2,7.69E-02,11,0.423076923,12,0.461538462,743,857,56,46,1,0.839285714,871,314,0.360505166,285,255,0.894736842,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,AL,Gadsden/Northeast Alabama CoC,AL-505,0,"Smaller Cities, Counties, and Regional CoCs",73,64,0.876712329,88,16,98,17,81,5,11,12,6.17E-02,0.135802469,0.148148148,530,0,0,NA,0,NA,0,NA,0,0,NA,0,NA,0,NA,414,425,0,0,0,NA,446,66,0.147982063,15,13,0.866666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,AL,Tuscaloosa City & County CoC,AL-506,232472,"Smaller Cities, Counties, and Regional CoCs",182,62,0.340659341,7,7,182,105,21,0,2,4,0,9.52E-02,0.19047619,73,16,0,0,0,0,0,0,7,0,0,0,0,0,0,43,194,0,0,0,NA,207,154,0.743961353,98,95,0.969387755,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,AL,Alabama Balance of State CoC,AL-507,1045984,Balance of State and Statewide CoCs,481,10,2.08E-02,178,178,166,76,69,0,0,2,0,0,2.90E-02,61,4,0,0,0,0,0,0,17,1,5.88E-02,5,0.294117647,6,0.352941176,47,363,0,0,0,NA,325,226,0.695384615,95,83,0.873684211,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,AR,Little Rock/Central Arkansas CoC,AR-500,3359964,"Smaller Cities, Counties, and Regional CoCs",649,409,0.630200308,46,21,72,30,491,44,62,90,8.96E-02,0.126272912,0.183299389,1871,305,3,9.84E-03,31,0.101639344,33,0.108196721,100,21,0.21,14,0.14,35,0.35,1334,1414,0,0,0,NA,1542,508,0.329442283,594,562,0.946127946,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
